Index     FlowId          Size              Sent              Recv              FCT               PfcDur            
0          192             0.003             0.003             0.003             688.171           0                 
1          344             0.14              0.14              0.14              52.703            0                 
2          913             0.148             0.148             0.148             12.298            0                 
3          148             0.188             0.188             0.188             107.743           0                 
4          770             0.23              0.23              0.23              885.18            0                 
5          497             0.257             0.257             0.257             12.667            0                 
6          24              0.277             0.291             0.277             84.878            0                 
7          70              0.38              0.394             0.38              16.672            0                 
8          234             0.783             0.783             0.783             960.458           0                 
9          624             0.785             0.799             0.785             8.248             0                 
10         774             0.815             0.829             0.815             21.635            0                 
11         182             0.877             0.877             0.877             750.52            0                 
12         485             0.889             0.889             0.889             442.691           0                 
13         476             0.925             0.939             0.925             8.451             0                 
14         639             0.958             0.972             0.958             17.907            0                 
15         238             0.987             0.987             0.987             12.524            0                 
16         852             1.129             1.129             1.129             16.787            0                 
17         281             1.167             1.195             1.167             51.37             0                 
18         609             1.189             1.189             1.189             291.894           0                 
19         566             1.251             1.251             1.251             1022.05           0                 
20         291             1.262             1.262             1.262             260.268           0                 
21         319             1.265             1.265             1.265             851.87            0                 
22         8               1.334             1.334             1.334             170.733           0                 
23         158             1.367             1.367             1.367             638.305           0                 
24         224             1.39              1.418             1.39              12.541            0                 
25         593             1.527             1.527             1.527             302.782           0                 
26         519             1.563             1.563             1.563             437.459           0                 
27         111             1.59              1.59              1.59              136.606           0                 
28         513             1.711             1.711             1.711             18.605            0                 
29         606             1.745             1.745             1.745             614.08            0                 
30         409             1.818             1.818             1.818             922.26            0                 
31         332             1.9               1.9               1.9               74.158            0                 
32         221             2.004             2.004             2.004             212.373           0                 
33         717             2.033             2.033             2.033             376.139           0                 
34         189             2.107             2.107             2.107             743.527           0                 
35         318             2.145             2.187             2.145             80.76             0                 
36         371             2.182             2.182             2.182             789.348           0                 
37         68              2.192             2.192             2.192             578.01            0                 
38         911             2.217             2.259             2.217             8.359             0                 
39         213             2.287             2.287             2.287             159.867           0                 
40         98              2.314             2.314             2.314             168.527           0                 
41         443             2.389             2.389             2.389             1033.13           0                 
42         208             2.454             2.454             2.454             844.701           0                 
43         866             2.522             2.522             2.522             517.221           0                 
44         261             2.528             2.528             2.528             97.017            0                 
45         125             2.55              2.55              2.55              772.179           0                 
46         529             2.689             2.689             2.689             128.215           0                 
47         206             2.926             2.926             2.926             21.618            0                 
48         280             2.957             2.999             2.957             8.741             0                 
49         922             2.972             2.972             2.972             360.224           0                 
50         149             2.981             2.981             2.981             832.309           0                 
51         396             3.03              3.03              3.03              81.235            0                 
52         130             3.145             3.145             3.145             508.104           0                 
53         296             3.172             3.172             3.172             1034.72           0                 
54         767             3.229             3.229             3.229             44.912            0                 
55         316             3.235             3.235             3.235             195.146           0                 
56         324             3.328             3.328             3.328             40.964            0                 
57         783             3.414             3.414             3.414             904.571           0                 
58         56              3.433             3.433             3.433             407.189           0                 
59         939             3.456             3.512             3.456             24.146            0                 
60         312             3.457             3.457             3.457             158.813           0                 
61         486             3.574             3.574             3.574             1131.28           0                 
62         906             3.759             3.759             3.759             619.441           0                 
63         248             4.01              4.01              4.01              650.327           0                 
64         284             4.289             4.359             4.289             17.563            0                 
65         900             4.378             4.378             4.378             265.52            0                 
66         203             4.507             4.507             4.507             846.171           0                 
67         20              4.66              4.66              4.66              88.548            0                 
68         48              4.836             4.836             4.836             311.504           0                 
69         536             4.914             4.914             4.914             161.371           0                 
70         382             4.921             4.921             4.921             37.89             0                 
71         81              4.95              4.95              4.95              233.4             0                 
72         384             4.967             4.967             4.967             252.443           0                 
73         891             5.177             5.177             5.177             1049.65           0                 
74         713             5.411             5.495             5.411             9.361             0                 
75         123             5.417             5.501             5.417             8.969             0                 
76         923             5.418             5.418             5.418             891.923           0                 
77         560             5.452             5.452             5.452             262.813           0                 
78         197             5.505             5.519             5.505             391.183           0                 
79         698             5.551             5.579             5.551             367.336           0                 
80         462             5.571             5.655             5.571             214.277           0                 
81         520             5.619             5.619             5.619             436.819           0                 
82         114             5.627             5.641             5.627             209.777           0                 
83         467             5.786             5.8               5.786             55.647            0                 
84         549             5.837             5.921             5.837             1344.62           0                 
85         453             5.944             5.944             5.944             842.169           0                 
86         263             5.973             5.973             5.973             554.714           0                 
87         190             6.008             6.008             6.008             921.631           0                 
88         635             6.177             6.205             6.177             526.33            0                 
89         793             6.209             6.237             6.209             805.26            0                 
90         528             6.224             6.224             6.224             24.245            0                 
91         689             6.239             6.253             6.239             403.993           0                 
92         873             6.252             6.28              6.252             543.554           0                 
93         154             6.287             6.315             6.287             275.541           0                 
94         430             6.302             6.33              6.302             871.197           0                 
95         398             6.356             6.37              6.356             935.853           0                 
96         678             6.433             6.531             6.433             17.217            0                 
97         898             6.451             6.479             6.451             491.623           0                 
98         706             6.55              6.578             6.55              1075.08           0                 
